id1,id2
388309,132
388309,369157
388309,385406
388309,320356
388309,53399
388309,31906
388309,24182
388309,43737
388309,4806
388309,22512
388309,12447
388309,40876
388309,42457
388309,5679
388309,69
388309,2551
388309,42848
388309,53414
388309,27015
388309,29593
388309,3387
388309,4166
388309,42405
388309,4439
388309,10389
388309,15859
388309,23742
388309,41680
388309,18726
388309,50734
388309,19397
388309,23875
388309,29952
388309,10141
388309,14962
388309,4440
388309,492
388309,5596
388309,39236
388309,42767
388309,475
388309,5538
388309,5621
388309,57539
388309,22821
388309,250
388309,42847
388309,3876
388309,279590
388309,41738
388309,12258
388309,19380
388309,23771
388309,52332
388309,864
388309,4108
388309,41494
388309,59633
388309,40877
388309,58381
388309,23916
388309,27946
388309,326224
388309,40381
388309,40588
388309,53413
388309,4297
132,369157
132,385406
132,320356
132,53399
132,31906
132,24182
132,43737
132,4806
132,22512
132,12447
132,40876
132,42457
132,5679
132,69
132,2551
132,42848
132,53414
132,27015
132,29593
132,3387
132,4166
132,42405
132,4439
132,10389
132,15859
132,23742
132,41680
132,18726
132,50734
132,19397
132,23875
132,29952
132,10141
132,14962
132,4440
132,492
132,5596
132,39236
132,42767
132,475
132,5538
132,5621
132,57539
132,22821
132,250
132,42847
132,3876
132,279590
132,41738
132,12258
132,19380
132,23771
132,52332
132,864
132,4108
132,41494
132,59633
132,40877
132,58381
132,23916
132,27946
132,326224
132,40381
132,40588
132,53413
132,4297
229144,1111
229144,41658
229144,53266
229144,53339
229144,244750
229144,42359
229144,58388
229144,19654
229144,57509
229144,19251
229144,39997
229144,40493
229144,41850
229144,53029
229144,59149
229144,61411
229144,617
229144,34744
229144,3498
229144,302687
229144,394392
229144,452648
229144,24411
229144,24442
229144,5542
229144,30490
229144,32716
229144,25582
229144,52369
229144,53969
229144,57601
229144,39039
229144,52297
229144,15945
229144,51610
229144,53633
229144,54361
229144,55775
229144,25449
229144,28568
229144,54096
229144,244879
229144,42537
229144,56092
229144,25035
229144,56976
229144,57055
229144,57518
229144,23760
229144,269332
229144,31777
229144,359108
229144,42117
229144,54551
229144,57100
229144,58862
229144,52371
229144,26264
229144,292843
229144,4101
229144,53207
229144,839
229144,19625
229144,25373
229144,394391
229144,42191
229144,53781
229144,57422
229144,255818
229144,39513
229144,5179
229144,57270
229144,3506
229144,42039
229144,4491
229144,52170
229144,53747
229144,54552
229144,2249
229144,257182
229144,57954
229144,58755
229144,28145
229144,3480
229144,57215
229144,3287
229144,41776
229144,44093
229144,53743
229144,13466
229144,14870
229144,3556
229144,57173
229144,34749
229144,394389
229144,418164
257281,364809
257281,41478
257281,5109
257281,16023
257281,27975
257281,4407
257281,41450
257281,42483
257281,46742
257281,53900
257281,41449
257281,57997
257281,264671
257281,53460
257281,53471
257281,35522
257281,56007
257281,31744
257281,27977
257281,6820
257281,115
257281,30789
257281,49122
257281,57324
257281,61584
257281,105915
257281,1682
257281,16936
257281,20999
257281,31397
257281,38297
257281,51213
257281,53461
257281,58918
257281,56183
257281,22647
257281,29839
257281,37631
257281,249946
257281,29413
257281,320
257281,60101
257281,30057
257281,11868
257281,275611
257281,31955
257281,3775
257281,288591
257281,59011
257281,25967
257281,269337
257281,31487
257281,54035
257281,22980
257281,30839
257281,17492
257281,302836
257281,30421
257281,362941
257281,58917
257281,16018
257281,32674
257281,59155
339958,257255
339958,42180
339958,1596
339958,25856
339958,27965
339958,13513
339958,262353
339958,52943
339958,15858
339958,52372
339958,327232
339958,57475
339958,28009
339958,365053
339958,331454
339958,25131
339958,21574
339958,29223
339958,3757
392459,349334
392459,12536
257255,42180
257255,1596
257255,25856
257255,27965
257255,13513
257255,262353
257255,52943
257255,15858
257255,52372
257255,327232
257255,57475
257255,28009
257255,365053
257255,331454
257255,25131
257255,21574
257255,29223
257255,3757
4167,43422
4167,43350
4167,2364
4167,42045
4167,42186
4167,30243
4167,42264
4167,39
1111,41658
1111,53266
1111,53339
1111,244750
1111,42359
1111,58388
1111,19654
1111,57509
1111,19251
1111,39997
1111,40493
1111,41850
1111,53029
1111,59149
1111,61411
1111,617
1111,34744
1111,3498
1111,302687
1111,394392
1111,452648
1111,24411
1111,24442
1111,5542
1111,30490
1111,32716
1111,25582
1111,52369
1111,53969
1111,57601
1111,39039
1111,52297
1111,15945
1111,51610
1111,53633
1111,54361
1111,55775
1111,25449
1111,28568
1111,54096
1111,244879
1111,42537
1111,56092
1111,25035
1111,56976
1111,57055
1111,57518
1111,23760
1111,269332
1111,31777
1111,359108
1111,42117
1111,54551
1111,57100
1111,58862
1111,52371
1111,26264
1111,292843
1111,4101
1111,53207
1111,839
1111,19625
1111,25373
1111,394391
1111,42191
1111,53781
1111,57422
1111,255818
1111,39513
1111,5179
1111,57270
1111,3506
